,Country/region,Site,Site id,Depth (m),svo (kN/m2),s¢vo (kN/m2),s¢p (kN/m2),OCR ,LL (%) ,PL (%),PI (%) ,w (%) ,LI ,qc (kN/m2),qt (kN/m2),u0 (kN/m2),u2 (kN/m2),Bq ,St,"su,CIUC/s¢v0 ","su,CIUC (kN/m2)","su,CK0UC/s¢v0 ","su,CK0UC (kN/m2)","su,DSS/s¢v0 ","su,DSS (kN/m2)","su,CIUE/s¢v0 ","su,CIUE (kN/m2)","su,CK0UE/s¢v0 ","su,CK0UE (kN/m2)","su,UU/s¢v0 ","su,UU (kN/m2)","remolded su,UU (kN/m2)","su,UC/s¢v0 ","su,UC (kN/m2)","remolded su,UC (kN/m2)","su,VST/s¢v0 ","su,VST (kN/m2)","remolded su,VST (kN/m2)",Remolded su (kN/m2),su(mob)/s¢v0 ,su(mob) (kN/m2),su_mean,type
0,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9017839,,,,,,24.0428302,,,,,16.47230705,
1,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5973481,,,,,,21.2269808,,,,,15.912164449999999,
2,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7438282,,,,,,27.9416507,,,,,22.34273945,
3,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9557378,,,,,,48.735376,,,,,32.845556900000005,
4,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4393924,,,,,,41.8041981,,,,,30.121795249999998,
5,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1889584,,,,,,50.468398,,,,,39.3286782,
6,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.400868,,,,,,40.0713677,,,,,34.23611785,
7,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7323047,,,,,,53.717455,,,,,42.22487985,
8,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4876085,,,,,,70.828772,,,,,52.158190250000004,
9,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4876085,,,,,,41.8041981,,,,,37.6459033,
10,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9712152,,,,,,61.948112,,,,,48.4596636,
11,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8787848,,,,,,57.616036,,,,,47.2474104,
12,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3623915,,,,,,46.35283,,,,,42.35761075,
13,Hong Kong,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.231293,,,,,,73.861321,,,,,62.046307,
14,Hong Kong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26531075,,,,,,,,3.70758933,,,2.98645004,
15,Hong Kong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9085129,,,,,,,,6.9753896,,,6.44195125,
16,Hong Kong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2401891,,,,,,,,12.0255824,,,10.13288575,
17,Hong Kong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5618267,,,,,,,,26.4335671,,,25.4976969,
18,Hong Kong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9336597,,,,,,,,30.2955046,,,29.61458215,
19,Hong Kong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1346832,,,,,,,,41.5842413,,,40.35946225,
20,Hong Kong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.189947,,,,,,,,54.803827,,,51.996887,
21,Hong Kong,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.747936,,,,,,,,57.032135,,,56.390035499999996,
22,Hong Kong,,4.0,,,,,,47.0,22.0,25.0,28.0,0.24,,,,,,,,,,37.362,,,,,,,,,,,,,,50.295,,,,47.82677288,45.16125762666667,CL
23,Hong Kong,,4.0,,,,,,81.0,22.0,59.0,20.0,-0.033898305,,,,,,,,,,40.236,,,,,,,,,,,,,,48.858,,,,36.59924442,41.89774814,CH
24,Hong Kong,,4.0,,,,,,81.0,22.0,59.0,20.0,-0.033898305,,,,,,,,,,40.236,,,,,,,,,,,,,,76.161,,,,57.05176337,57.81625445666666,CH
